#datatype string,string,string,date,tag
"ภาคใต้ฝั่งตะวันตก","กระบี่","ปลายพระยา","1.52","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ทุ่งใหญ่","1.48","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","พนม","1.48","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","นาโยง","1.48","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","พระแสง","1.33","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แม่ฮ่องสอน","สบเมย","1.32","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","ห้วยยอด","1.25","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","กระบี่","อ่าวลึก","1.18","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","บ้านฉาง","1.12","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","บ้านตาขุน","1.09","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","ป่าบอน","1.08","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","ควนขนุน","1.05","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","สะเมิง","1.04","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","เมืองพัทลุง","0.98","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","คีรีรัฐนิคม","0.83","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ตาก","ท่าสองยาง","0.82","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ภูเก็ต","กะทู้","0.82","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ยะลา","บันนังสตา","0.82","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","เขาชัยสน","0.79","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","กระแสสินธุ์","0.78","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","เจาะไอร้อง","0.77","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","บ้านนาสาร","0.74","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","ระแงะ","0.69","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","ระโนด","0.68","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แม่ฮ่องสอน","แม่ลาน้อย","0.67","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ชลบุรี","บางละมุง","0.66","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","น่าน","เฉลิมพระเกียรติ","0.64","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","กระบี่","เมืองกระบี่","0.60","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","ปากพะยูน","0.57","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","หัวไทร","0.55","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","กระบี่","เขาพนม","0.49","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","ชัยบุรี","0.46","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แม่ฮ่องสอน","ขุนยวม","0.42","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แม่ฮ่องสอน","ปาย","0.42","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","วิภาวดี","0.42","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","ขนอม","0.39","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","กาญจนดิษฐ์","0.38","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","เมืองตรัง","0.38","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","รัษฎา","0.36","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","เมืองระยอง","0.34","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","เมืองสงขลา","0.34","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","ฮอด","0.30","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","ท่าแซะ","0.30","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","พิษณุโลก","ชาติตระการ","0.28","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","น่าน","แม่จริม","0.27","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","ปะทิว","0.26","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","พัทลุง","บางแก้ว","0.25","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","นิคมพัฒนา","0.23","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","ดอนสัก","0.23","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ระนอง","กระบุรี","0.23","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ระนอง","สุขสำราญ","0.23","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","เมืองชุมพร","0.23","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","จันทบุรี","ท่าใหม่","0.21","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","เชียงใหม่","แม่แตง","0.21","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","ท่าชนะ","0.21","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ยะลา","รามัน","0.21","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","บาเจาะ","0.21","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","ท่าฉาง","0.20","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","ตากใบ","0.20","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","จันทบุรี","แก่งหางแมว","0.19","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แม่ฮ่องสอน","แม่สะเรียง","0.19","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","จันทบุรี","นายายอาม","0.18","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","สิงหนคร","0.18","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","นครนายก","บ้านนา","0.17","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","นครนายก","องครักษ์","0.17","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","กะพ้อ","0.16","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","แว้ง","0.16","เล็กน้อย-ปานกลาง"
"ภาคกลาง","ปทุมธานี","หนองเสือ","0.15","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","นครนายก","เมืองนครนายก","0.15","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","น่าน","นาน้อย","0.15","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","เกาะสมุย","0.15","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","รัตภูมิ","0.15","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ปราจีนบุรี","บ้านสร้าง","0.14","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นครศรีธรรมราช","นาบอน","0.14","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","พุนพิน","0.14","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","ละแม","0.14","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","ตรัง","สิเกา","0.14","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","เมืองนราธิวาส","0.14","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นนทบุรี","ไทรน้อย","0.13","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","บางซ้าย","0.13","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","เสนา","0.13","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สระบุรี","วิหารแดง","0.13","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นครปฐม","บางเลน","0.13","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ประจวบคีรีขันธ์","บางสะพานน้อย","0.13","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","ภาชี","0.12","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","ผักไห่","0.12","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","อุทัย","0.12","เล็กน้อย-ปานกลาง"
"ภาคกลาง","อ่างทอง","ป่าโมก","0.12","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สระบุรี","หนองแค","0.12","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ฉะเชิงเทรา","บางน้ำเปรี้ยว","0.12","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สุพรรณบุรี","บางปลาม้า","0.12","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สุพรรณบุรี","เมืองสุพรรณบุรี","0.12","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","หาดใหญ่","0.12","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","ยี่งอ","0.12","เล็กน้อย-ปานกลาง"
"ภาคกลาง","ปทุมธานี","ลาดหลุมแก้ว","0.11","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","บางบาล","0.11","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","นครหลวง","0.11","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","วังน้อย","0.11","เล็กน้อย-ปานกลาง"
"ภาคกลาง","อ่างทอง","เมืองอ่างทอง","0.11","เล็กน้อย-ปานกลาง"
"ภาคกลาง","อ่างทอง","โพธิ์ทอง","0.11","เล็กน้อย-ปานกลาง"
"ภาคกลาง","อ่างทอง","วิเศษชัยชาญ","0.11","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ตราด","เกาะกูด","0.11","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ฉะเชิงเทรา","บางคล้า","0.11","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ชุมพร","สวี","0.11","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","นราธิวาส","รือเสาะ","0.11","เล็กน้อย-ปานกลาง"
"ภาคกลาง","ปทุมธานี","ธัญบุรี","0.10","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","ลาดบัวหลวง","0.10","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","จันทบุรี","เขาคิชฌกูฏ","0.10","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","แพร่","ร้องกวาง","0.10","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","สทิงพระ","0.10","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","ไม้แก่น","0.10","เล็กน้อย-ปานกลาง"
"ภาคกลาง","กรุงเทพมหานคร","หนองจอก","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นนทบุรี","บางบัวทอง","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","ปทุมธานี","ลำลูกกา","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","บางปะอิน","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","บางไทร","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","ท่าเรือ","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","อ่างทอง","สามโก้","0.09","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ตราด","เขาสมิง","0.09","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ตราด","เมืองตราด","0.09","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ฉะเชิงเทรา","ราชสาส์น","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สุพรรณบุรี","สองพี่น้อง","0.09","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สุราษฎร์ธานี","ไชยา","0.09","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันตก","สตูล","ควนกาหลง","0.09","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","สายบุรี","0.09","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ยะลา","ยะหา","0.09","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นนทบุรี","บางใหญ่","0.08","เล็กน้อย-ปานกลาง"
"ภาคกลาง","ปทุมธานี","คลองหลวง","0.08","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","บางปะหัน","0.08","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","มหาราช","0.08","เล็กน้อย-ปานกลาง"
"ภาคกลาง","พระนครศรีอยุธยา","พระนครศรีอยุธยา","0.08","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ฉะเชิงเทรา","คลองเขื่อน","0.08","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","อุตรดิตถ์","น้ำปาด","0.08","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","น่าน","ปัว","0.08","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","ควนเนียง","0.08","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ปัตตานี","ทุ่งยางแดง","0.08","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สระบุรี","บ้านหมอ","0.07","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ระยอง","แกลง","0.07","เล็กน้อย-ปานกลาง"
"ภาคตะวันออก","ฉะเชิงเทรา","เมืองฉะเชิงเทรา","0.07","เล็กน้อย-ปานกลาง"
"ภาคกลาง","กรุงเทพมหานคร","ลาดกระบัง","0.06","เล็กน้อย-ปานกลาง"
"ภาคกลาง","สระบุรี","ดอนพุด","0.06","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","น่าน","นาหมื่น","0.06","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","สะบ้าย้อย","0.06","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","ยะลา","เมืองยะลา","0.06","เล็กน้อย-ปานกลาง"
"ภาคกลาง","กรุงเทพมหานคร","คลองสามวา","0.05","เล็กน้อย-ปานกลาง"
"ภาคกลาง","อ่างทอง","แสวงหา","0.05","เล็กน้อย-ปานกลาง"
"ภาคเหนือ","ตาก","แม่ระมาด","0.05","เล็กน้อย-ปานกลาง"
"ภาคกลาง","นครปฐม","พุทธมณฑล","0.05","เล็กน้อย-ปานกลาง"
"ภาคใต้ฝั่งตะวันออก","สงขลา","จะนะ","0.05","เล็กน้อย-ปานกลาง"
